x,y,z
-1.464752674102783203e+01,7.847635746002197266e+00,-9.419860243797302246e-01
-1.261533164978027344e+01,7.649405956268310547e+00,-8.879345655441284180e-01
-1.173844051361083984e+01,6.289048671722412109e+00,-8.480820059776306152e-01
-1.048365306854248047e+01,6.356845855712890625e+00,-8.237022757530212402e-01
-9.935721397399902344e+00,5.323214530944824219e+00,-7.967631816864013672e-01
-8.795158386230468750e+00,4.712140083312988281e+00,-7.752463817596435547e-01
-6.329761981964111328e+00,3.838101387023925781e+00,-7.051190733909606934e-01
-5.044702053070068359e+00,3.273672342300415039e+00,-6.787922382354736328e-01
-4.400497913360595703e+00,2.855627298355102539e+00,-6.663029789924621582e-01
-3.900555133819580078e+00,2.531198024749755859e+00,-6.566003561019897461e-01
-3.491311311721801758e+00,2.265626192092895508e+00,-6.470154523849487305e-01
-1.008948898315429688e+02,5.405598068237304688e+01,6.291777610778808594e+00
-1.002686309814453125e+02,6.079867553710937500e+01,4.397454261779785156e+00
-1.013411865234375000e+02,5.429508590698242188e+01,3.910294294357299805e+00
-1.006035156250000000e+02,6.100173568725585938e+01,3.591098308563232422e+00
-1.006429901123046875e+02,6.102567291259765625e+01,2.771331071853637695e+00
-1.013723449707031250e+02,5.431177902221679688e+01,2.306879997253417969e+00
-9.334911346435546875e+01,6.057729721069335938e+01,6.803980469703674316e-01
-8.534177398681640625e+01,4.913488006591796875e+01,2.587492167949676514e-01
-8.564978790283203125e+01,4.931221771240234375e+01,-4.292132258415222168e-01
-8.418130493164062500e+01,5.462800598144531250e+01,-7.855862379074096680e-01
-8.427867126464843750e+01,5.469118881225585938e+01,-1.487034320831298828e+00
-8.518570709228515625e+01,4.904502487182617188e+01,-1.797539830207824707e+00
-8.564406585693359375e+01,4.930892181396484375e+01,-2.496523141860961914e+00
-1.602899932861328125e+01,9.719309806823730469e+00,-9.970969557762145996e-01
-1.464752674102783203e+01,7.847635746002197266e+00,-9.419860243797302246e-01
-1.261533164978027344e+01,7.649405956268310547e+00,-8.879345655441284180e-01
-1.173844051361083984e+01,6.289048671722412109e+00,-8.480820059776306152e-01
-1.048365306854248047e+01,6.356845855712890625e+00,-8.237022757530212402e-01
-9.935721397399902344e+00,5.323214530944824219e+00,-7.967631816864013672e-01
-8.795158386230468750e+00,4.712140083312988281e+00,-7.752463817596435547e-01
-6.329761981964111328e+00,3.838101387023925781e+00,-7.051190733909606934e-01
-5.044702053070068359e+00,3.273672342300415039e+00,-6.787922382354736328e-01
-4.400497913360595703e+00,2.855627298355102539e+00,-6.663029789924621582e-01
-3.900555133819580078e+00,2.531198024749755859e+00,-6.566003561019897461e-01
-3.491311311721801758e+00,2.265626192092895508e+00,-6.470154523849487305e-01
-1.001062545776367188e+02,6.533549499511718750e+01,1.075975322723388672e+01
-9.982613372802734375e+01,6.515267181396484375e+01,9.892509460449218750e+00
-9.979795837402343750e+01,6.513428497314453125e+01,9.053620338439941406e+00
-1.100050048828125000e+02,6.371878051757812500e+01,9.212392807006835938e+00
-1.072257232666015625e+02,6.210892105102539062e+01,8.111622810363769531e+00
-1.006510009765625000e+02,5.426510620117187500e+01,6.285410881042480469e+00
-1.009544067382812500e+02,5.442868041992187500e+01,5.502628803253173828e+00
-1.004932098388671875e+02,6.129543685913085938e+01,5.236371040344238281e+00
-1.006761474609375000e+02,5.427865982055664062e+01,4.688477993011474609e+00
-1.001875228881835938e+02,6.110898208618164062e+01,4.400902271270751953e+00
-1.018108978271484375e+02,5.489045333862304688e+01,3.933952808380126953e+00
-1.003785247802734375e+02,6.122548294067382812e+01,3.588779449462890625e+00
-8.827792358398437500e+01,5.384476852416992188e+01,2.434718847274780273e+00
-1.008999328613281250e+02,5.439931488037109375e+01,1.499966025352478027e+00
-8.876614379882812500e+01,5.414255523681640625e+01,9.981210231781005859e-01
-9.338105010986328125e+01,6.094621658325195312e+01,6.817920804023742676e-01
-8.603310394287109375e+01,4.983340835571289062e+01,2.612401247024536133e-01
-9.260564422607421875e+01,6.044013214111328125e+01,-9.484410285949707031e-02
-8.356563568115234375e+01,5.454006958007812500e+01,-7.811712622642517090e-01
-8.407483673095703125e+01,5.487240982055664062e+01,-1.485968828201293945e+00
-8.469011688232421875e+01,4.905550384521484375e+01,-1.789787530899047852e+00
-7.848512268066406250e+01,4.546134948730468750e+01,-2.924050569534301758e+00
-1.604781723022460938e+01,9.788302421569824219e+00,-9.998589754104614258e-01
-1.465152835845947266e+01,7.899242877960205078e+00,-9.435707330703735352e-01
-1.256457233428955078e+01,7.663711071014404297e+00,-8.857718110084533691e-01
-1.173598194122314453e+01,6.327351570129394531e+00,-8.490988612174987793e-01
-1.041245079040527344e+01,6.351033210754394531e+00,-8.194121718406677246e-01
-9.988474845886230469e+00,5.385198593139648438e+00,-8.021219372749328613e-01
-8.779275894165039062e+00,4.733269214630126953e+00,-7.749365568161010742e-01
-6.319686889648437500e+00,3.854667901992797852e+00,-7.051190733909606934e-01
-1.001062545776367188e+02,6.533549499511718750e+01,1.075975322723388672e+01
-9.982613372802734375e+01,6.515267181396484375e+01,9.892509460449218750e+00
-9.979795837402343750e+01,6.513428497314453125e+01,9.053620338439941406e+00
-1.100050048828125000e+02,6.371878051757812500e+01,9.212392807006835938e+00
-1.072257232666015625e+02,6.210892105102539062e+01,8.111622810363769531e+00
-1.006510009765625000e+02,5.426510620117187500e+01,6.285410881042480469e+00
-1.009544067382812500e+02,5.442868041992187500e+01,5.502628803253173828e+00
-1.004932098388671875e+02,6.129543685913085938e+01,5.236371040344238281e+00
-1.006761474609375000e+02,5.427865982055664062e+01,4.688477993011474609e+00
-9.468998718261718750e+01,5.775577926635742188e+01,4.159413814544677734e+00
-1.018108978271484375e+02,5.489045333862304688e+01,3.933952808380126953e+00
-9.468171691894531250e+01,5.775074005126953125e+01,3.385104656219482422e+00
-8.783069610595703125e+01,5.357198333740234375e+01,2.422384262084960938e+00
-1.008999328613281250e+02,5.439931488037109375e+01,1.499966025352478027e+00
-8.808660888671875000e+01,5.372808074951171875e+01,9.904801249504089355e-01
-9.338105010986328125e+01,6.094621658325195312e+01,6.817920804023742676e-01
-8.603310394287109375e+01,4.983340835571289062e+01,2.612401247024536133e-01
-8.377919769287109375e+01,5.467945098876953125e+01,-8.580430597066879272e-02
-8.356563568115234375e+01,5.454006958007812500e+01,-7.811712622642517090e-01
-8.407483673095703125e+01,5.487240982055664062e+01,-1.485968828201293945e+00
-8.469011688232421875e+01,4.905550384521484375e+01,-1.789787530899047852e+00
-7.848512268066406250e+01,4.546134948730468750e+01,-2.924050569534301758e+00
-1.604781723022460938e+01,9.788302421569824219e+00,-9.998589754104614258e-01
-1.465152835845947266e+01,7.899242877960205078e+00,-9.435707330703735352e-01
-1.256457233428955078e+01,7.663711071014404297e+00,-8.857718110084533691e-01
-1.173598194122314453e+01,6.327351570129394531e+00,-8.490988612174987793e-01
-1.041245079040527344e+01,6.351033210754394531e+00,-8.194121718406677246e-01
-9.988474845886230469e+00,5.385198593139648438e+00,-8.021219372749328613e-01
-8.779275894165039062e+00,4.733269214630126953e+00,-7.749365568161010742e-01
-6.319686889648437500e+00,3.854667901992797852e+00,-7.051190733909606934e-01
-9.979100799560546875e+01,6.547528076171875000e+01,1.074289989471435547e+01
-1.000045089721679688e+02,6.561536407470703125e+01,9.925920486450195312e+00
-9.433079528808593750e+01,6.189270401000976562e+01,8.571228981018066406e+00
-1.099777526855468750e+02,6.405958557128906250e+01,9.223090171813964844e+00
-1.009966430664062500e+02,5.476789474487304688e+01,6.315268039703369141e+00
-1.004217605590820312e+02,5.445615005493164062e+01,5.480776309967041016e+00
-1.008639678955078125e+02,5.469594955444335938e+01,4.703386306762695312e+00
-9.503354644775390625e+01,5.828191375732421875e+01,4.180699825286865234e+00
-1.014666671752929688e+02,5.502278137207031250e+01,3.925794839859008789e+00
-9.328378295898437500e+01,5.720882797241210938e+01,3.340073823928833008e+00
-1.016886215209960938e+02,5.514313888549804688e+01,3.127148866653442383e+00
-1.006611633300781250e+02,6.173320770263671875e+01,2.780370235443115234e+00
-8.801284790039062500e+01,5.397628021240234375e+01,1.711051702499389648e+00
-8.597254180908203125e+01,4.662071228027343750e+01,1.279733777046203613e+00
-8.796973419189453125e+01,5.394984054565429688e+01,9.906336665153503418e-01
-8.721163177490234375e+01,5.079883193969726562e+01,2.651919424533843994e-01
-8.317816925048828125e+01,5.457519531250000000e+01,-8.532400429248809814e-02
-8.564192962646484375e+01,4.988451385498046875e+01,-4.304292201995849609e-01
-8.495452880859375000e+01,4.948411941528320312e+01,-1.797905564308166504e+00
-8.392751312255859375e+01,5.506686401367187500e+01,-2.185648202896118164e+00
-8.767477416992187500e+01,5.106859970092773438e+01,-2.563194036483764648e+00
-8.732595062255859375e+01,5.729665756225585938e+01,-3.002783775329589844e+00
-7.721047210693359375e+01,4.497337722778320312e+01,-2.880615711212158203e+00
-1.611256980895996094e+01,9.881473541259765625e+00,-1.005383014678955078e+00
-1.469903659820556641e+01,7.970911502838134766e+00,-9.478720426559448242e-01
-1.247447872161865234e+01,7.650314331054687500e+00,-8.807253837585449219e-01
-1.172411632537841797e+01,6.357688426971435547e+00,-8.493530750274658203e-01
-1.038681697845458984e+01,6.369998931884765625e+00,-8.186078071594238281e-01
-9.954343795776367188e+00,5.397985935211181641e+00,-8.004297018051147461e-01
-9.290142059326171875e+00,5.697432994842529297e+00,-8.085350990295410156e-01
-8.715188026428222656e+00,4.726023674011230469e+00,-7.702887654304504395e-01
-6.310323238372802734e+00,3.869977951049804688e+00,-7.051190733909606934e-01
-5.051389694213867188e+00,3.314338207244873047e+00,-6.819326877593994141e-01
-4.395992279052734375e+00,2.884316205978393555e+00,-6.678150296211242676e-01
-3.940723419189453125e+00,2.585603475570678711e+00,-6.655489802360534668e-01
-3.479839801788330078e+00,2.283206701278686523e+00,-6.470154523849487305e-01
-9.979100799560546875e+01,6.547528076171875000e+01,1.074289989471435547e+01
-1.000045089721679688e+02,6.561536407470703125e+01,9.925920486450195312e+00
-9.433079528808593750e+01,6.189270401000976562e+01,8.571228981018066406e+00
-1.099777526855468750e+02,6.405958557128906250e+01,9.223090171813964844e+00
-1.009966430664062500e+02,5.476789474487304688e+01,6.315268039703369141e+00
-1.004217605590820312e+02,5.445615005493164062e+01,5.480776309967041016e+00
-1.008639678955078125e+02,5.469594955444335938e+01,4.703386306762695312e+00
-9.503354644775390625e+01,5.828191375732421875e+01,4.180699825286865234e+00
-1.014666671752929688e+02,5.502278137207031250e+01,3.925794839859008789e+00
-9.328378295898437500e+01,5.720882797241210938e+01,3.340073823928833008e+00
-1.016886215209960938e+02,5.514313888549804688e+01,3.127148866653442383e+00
-1.006611633300781250e+02,6.173320770263671875e+01,2.780370235443115234e+00
-8.801284790039062500e+01,5.397628021240234375e+01,1.711051702499389648e+00
-8.597254180908203125e+01,4.662071228027343750e+01,1.279733777046203613e+00
-8.796973419189453125e+01,5.394984054565429688e+01,9.906336665153503418e-01
-8.721163177490234375e+01,5.079883193969726562e+01,2.651919424533843994e-01
-8.317816925048828125e+01,5.457519531250000000e+01,-8.532400429248809814e-02
-8.564192962646484375e+01,4.988451385498046875e+01,-4.304292201995849609e-01
-8.495452880859375000e+01,4.948411941528320312e+01,-1.797905564308166504e+00
-8.392751312255859375e+01,5.506686401367187500e+01,-2.185648202896118164e+00
-8.767477416992187500e+01,5.106859970092773438e+01,-2.563194036483764648e+00
-8.732595062255859375e+01,5.729665756225585938e+01,-3.002783775329589844e+00
-7.721047210693359375e+01,4.497337722778320312e+01,-2.880615711212158203e+00
-1.611256980895996094e+01,9.881473541259765625e+00,-1.005383014678955078e+00
-1.469903659820556641e+01,7.970911502838134766e+00,-9.478720426559448242e-01
-1.247447872161865234e+01,7.650314331054687500e+00,-8.807253837585449219e-01
-1.172411632537841797e+01,6.357688426971435547e+00,-8.493530750274658203e-01
-1.038681697845458984e+01,6.369998931884765625e+00,-8.186078071594238281e-01
-9.954343795776367188e+00,5.397985935211181641e+00,-8.004297018051147461e-01
-9.290142059326171875e+00,5.697432994842529297e+00,-8.085350990295410156e-01
-8.715188026428222656e+00,4.726023674011230469e+00,-7.702887654304504395e-01
-6.310323238372802734e+00,3.869977951049804688e+00,-7.051190733909606934e-01
-5.051389694213867188e+00,3.314338207244873047e+00,-6.819326877593994141e-01
-4.395992279052734375e+00,2.884316205978393555e+00,-6.678150296211242676e-01
-3.940723419189453125e+00,2.585603475570678711e+00,-6.655489802360534668e-01
-3.479839801788330078e+00,2.283206701278686523e+00,-6.470154523849487305e-01
-1.000893249511718750e+02,6.604650115966796875e+01,1.163694095611572266e+01
-9.997505187988281250e+01,6.597109985351562500e+01,1.078126907348632812e+01
-9.816878509521484375e+01,6.477918243408203125e+01,9.760516166687011719e+00
-9.452130889892578125e+01,6.237230300903320312e+01,8.603348731994628906e+00
-9.294367218017578125e+01,6.133126068115234375e+01,7.679479598999023438e+00
-1.013655395507812500e+02,5.531183624267578125e+01,7.155027866363525391e+00
-1.010457382202148438e+02,5.513733291625976562e+01,6.327342987060546875e+00
-1.006321487426757812e+02,6.207853698730468750e+01,6.085932254791259766e+00
-1.001771392822265625e+02,5.466336822509765625e+01,5.475217342376708984e+00
-1.027587585449218750e+02,5.607207107543945312e+01,4.798571109771728516e+00
-1.012806625366210938e+02,5.526552200317382812e+01,3.119041681289672852e+00
-1.010164413452148438e+02,5.512134552001953125e+01,2.308323860168457031e+00
-8.489965057373046875e+01,5.237338256835937500e+01,1.653188228607177734e+00
-8.487949371337890625e+01,4.973846817016601562e+01,-4.272502362728118896e-01
-8.472301483154296875e+01,4.964677429199218750e+01,-1.111119389533996582e+00
-8.470737457275390625e+01,4.963760757446289062e+01,-1.795418977737426758e+00
-8.601940917968750000e+01,5.676211166381835938e+01,-2.243988037109375000e+00
-8.567087554931640625e+01,5.020220565795898438e+01,-2.508443117141723633e+00
-8.708886718750000000e+01,5.746781921386718750e+01,-2.999794721603393555e+00
-7.578862762451171875e+01,4.441131591796875000e+01,-2.831896543502807617e+00
-1.597786045074462891e+01,9.856513977050781250e+00,-9.985841512680053711e-01
-1.462202739715576172e+01,7.978759288787841797e+00,-9.442498087882995605e-01
-1.251217746734619141e+01,7.718583106994628906e+00,-8.848105669021606445e-01
-1.169691944122314453e+01,6.382623672485351562e+00,-8.485903739929199219e-01
-1.041426181793212891e+01,6.424408912658691406e+00,-8.220934867858886719e-01
-9.852615356445312500e+00,5.376247882843017578e+00,-7.933787703514099121e-01
-9.292169570922851562e+00,5.732206344604492188e+00,-8.100149035453796387e-01
-8.730792045593261719e+00,4.764105796813964844e+00,-7.727676033973693848e-01
-6.303559303283691406e+00,3.888575553894042969e+00,-7.054983973503112793e-01
-1.000893249511718750e+02,6.604650115966796875e+01,1.163694095611572266e+01
-9.997505187988281250e+01,6.597109985351562500e+01,1.078126907348632812e+01
-9.816878509521484375e+01,6.477918243408203125e+01,9.760516166687011719e+00
-9.452130889892578125e+01,6.237230300903320312e+01,8.603348731994628906e+00
-9.294367218017578125e+01,6.133126068115234375e+01,7.679479598999023438e+00
-1.013655395507812500e+02,5.531183624267578125e+01,7.155027866363525391e+00
-1.010457382202148438e+02,5.513733291625976562e+01,6.327342987060546875e+00
-1.006321487426757812e+02,6.207853698730468750e+01,6.085932254791259766e+00
-1.001771392822265625e+02,5.466336822509765625e+01,5.475217342376708984e+00
-1.007344589233398438e+02,5.496747970581054688e+01,4.704041481018066406e+00
-1.012806625366210938e+02,5.526552200317382812e+01,3.119041681289672852e+00
-8.574198150634765625e+01,4.678657913208007812e+01,1.959287762641906738e+00
-8.489965057373046875e+01,5.237338256835937500e+01,1.653188228607177734e+00
-8.487949371337890625e+01,4.973846817016601562e+01,-4.272502362728118896e-01
-8.472301483154296875e+01,4.964677429199218750e+01,-1.111119389533996582e+00
-8.470737457275390625e+01,4.963760757446289062e+01,-1.795418977737426758e+00
-8.601940917968750000e+01,5.676211166381835938e+01,-2.243988037109375000e+00
-8.567087554931640625e+01,5.020220565795898438e+01,-2.508443117141723633e+00
-8.708886718750000000e+01,5.746781921386718750e+01,-2.999794721603393555e+00
-7.578862762451171875e+01,4.441131591796875000e+01,-2.831896543502807617e+00
-1.597786045074462891e+01,9.856513977050781250e+00,-9.985841512680053711e-01
-1.462202739715576172e+01,7.978759288787841797e+00,-9.442498087882995605e-01
-1.251217746734619141e+01,7.718583106994628906e+00,-8.848105669021606445e-01
-1.169691944122314453e+01,6.382623672485351562e+00,-8.485903739929199219e-01
-1.041426181793212891e+01,6.424408912658691406e+00,-8.220934867858886719e-01
-9.852615356445312500e+00,5.376247882843017578e+00,-7.933787703514099121e-01
-9.292169570922851562e+00,5.732206344604492188e+00,-8.100149035453796387e-01
-8.730792045593261719e+00,4.764105796813964844e+00,-7.727676033973693848e-01
-6.303559303283691406e+00,3.888575553894042969e+00,-7.054983973503112793e-01
-9.970037078857421875e+01,6.616534423828125000e+01,1.161182785034179688e+01
-9.962597656250000000e+01,6.611597442626953125e+01,1.076226329803466797e+01
-9.258963775634765625e+01,6.144636535644531250e+01,8.442147254943847656e+00
-9.283591461181640625e+01,6.160980606079101562e+01,7.683883190155029297e+00
-1.000059661865234375e+02,5.491040039062500000e+01,7.069189071655273438e+00
-1.001972732543945312e+02,5.501544189453125000e+01,6.283215522766113281e+00
-9.997702026367187500e+01,6.203651046752929688e+01,6.056118488311767578e+00
-1.001211624145507812e+02,5.497365188598632812e+01,5.480009555816650391e+00
-1.006006469726562500e+02,5.523692321777343750e+01,4.704533100128173828e+00
-1.009497833251953125e+02,5.542862319946289062e+01,3.113312959671020508e+00
-1.013975372314453125e+02,5.567446899414062500e+01,2.320356845855712891e+00
-8.528892517089843750e+01,5.292243576049804688e+01,1.663461804389953613e+00
-1.026152954101562500e+02,5.634310913085937500e+01,1.531839013099670410e+00
-8.475836181640625000e+01,5.624920272827148438e+01,-7.963262796401977539e-01
-8.566426849365234375e+01,5.050024032592773438e+01,-1.125194549560546875e+00
-8.406112670898437500e+01,5.578649139404296875e+01,-2.196706533432006836e+00
-8.623511505126953125e+01,5.722923660278320312e+01,-2.975540161132812500e+00
-7.118751525878906250e+01,4.724301910400390625e+01,-3.052595138549804688e+00
-1.608774757385253906e+01,9.982571601867675781e+00,-1.007082700729370117e+00
-1.459057617187500000e+01,8.011265754699707031e+00,-9.435707330703735352e-01
-1.254280757904052734e+01,7.782908916473388672e+00,-8.884152173995971680e-01
-1.168016052246093750e+01,6.413239955902099609e+00,-8.485903739929199219e-01
-1.035331249237060547e+01,6.424310207366943359e+00,-8.186078071594238281e-01
-9.796528816223144531e+00,5.378992557525634766e+00,-7.899942398071289062e-01
-9.297458648681640625e+00,5.769145011901855469e+00,-8.117905259132385254e-01
-8.774213790893554688e+00,4.817668437957763672e+00,-7.777252197265625000e-01
-6.293351650238037109e+00,3.905073404312133789e+00,-7.054983973503112793e-01
-5.020714759826660156e+00,3.331956624984741211e+00,-6.801381111145019531e-01
-4.384132385253906250e+00,2.909493923187255859e+00,-6.683190464973449707e-01
-3.884226799011230469e+00,2.577735662460327148e+00,-6.582782268524169922e-01
-3.474420785903930664e+00,2.305771350860595703e+00,-6.482443213462829590e-01
-3.339246988296508789e+00,1.833484530448913574e+00,-6.467320322990417480e-01
-9.970037078857421875e+01,6.616534423828125000e+01,1.161182785034179688e+01
-9.962597656250000000e+01,6.611597442626953125e+01,1.076226329803466797e+01
-9.258963775634765625e+01,6.144636535644531250e+01,8.442147254943847656e+00
-9.283591461181640625e+01,6.160980606079101562e+01,7.683883190155029297e+00
-1.000059661865234375e+02,5.491040039062500000e+01,7.069189071655273438e+00
-1.001972732543945312e+02,5.501544189453125000e+01,6.283215522766113281e+00
-9.997702026367187500e+01,6.203651046752929688e+01,6.056118488311767578e+00
-1.001211624145507812e+02,5.497365188598632812e+01,5.480009555816650391e+00
-1.006006469726562500e+02,5.523692321777343750e+01,4.704533100128173828e+00
-1.009497833251953125e+02,5.542862319946289062e+01,3.113312959671020508e+00
-8.519496917724609375e+01,4.677810668945312500e+01,1.949581146240234375e+00
-8.528892517089843750e+01,5.292243576049804688e+01,1.663461804389953613e+00
-1.026152954101562500e+02,5.634310913085937500e+01,1.531839013099670410e+00
-8.475836181640625000e+01,5.624920272827148438e+01,-7.963262796401977539e-01
-8.566426849365234375e+01,5.050024032592773438e+01,-1.125194549560546875e+00
-8.406112670898437500e+01,5.578649139404296875e+01,-2.196706533432006836e+00
-8.623511505126953125e+01,5.722923660278320312e+01,-2.975540161132812500e+00
-7.118751525878906250e+01,4.724301910400390625e+01,-3.052595138549804688e+00
-1.608774757385253906e+01,9.982571601867675781e+00,-1.007082700729370117e+00
-1.459057617187500000e+01,8.011265754699707031e+00,-9.435707330703735352e-01
-1.254280757904052734e+01,7.782908916473388672e+00,-8.884152173995971680e-01
-1.168016052246093750e+01,6.413239955902099609e+00,-8.485903739929199219e-01
-1.035331249237060547e+01,6.424310207366943359e+00,-8.186078071594238281e-01
-9.796528816223144531e+00,5.378992557525634766e+00,-7.899942398071289062e-01
-9.297458648681640625e+00,5.769145011901855469e+00,-8.117905259132385254e-01
-8.774213790893554688e+00,4.817668437957763672e+00,-7.777252197265625000e-01
-6.293351650238037109e+00,3.905073404312133789e+00,-7.054983973503112793e-01
-5.020714759826660156e+00,3.331956624984741211e+00,-6.801381111145019531e-01
-4.384132385253906250e+00,2.909493923187255859e+00,-6.683190464973449707e-01
-3.884226799011230469e+00,2.577735662460327148e+00,-6.582782268524169922e-01
-3.474420785903930664e+00,2.305771350860595703e+00,-6.482443213462829590e-01
-3.339246988296508789e+00,1.833484530448913574e+00,-6.467320322990417480e-01
-9.209452819824218750e+01,6.146586608886718750e+01,8.392219543457031250e+00
-9.254920196533203125e+01,6.176932907104492188e+01,7.654005527496337891e+00
-9.976502990722656250e+01,5.511870193481445312e+01,7.042369842529296875e+00
-1.002565536499023438e+02,5.539025878906250000e+01,6.275958061218261719e+00
-1.000217971801757812e+02,6.242775726318359375e+01,6.048082828521728516e+00
-1.000231323242187500e+02,5.526129913330078125e+01,5.462557315826416016e+00
-1.003163986206054688e+02,5.542332458496093750e+01,4.677976608276367188e+00
-1.018226547241210938e+02,5.625551223754882812e+01,3.936220169067382812e+00
-1.009832229614257812e+02,5.579173660278320312e+01,3.098689556121826172e+00
-9.578372192382812500e+01,5.978260040283203125e+01,2.638824224472045898e+00
-9.461968231201171875e+01,5.905607604980468750e+01,1.828985929489135742e+00
-8.638799285888671875e+01,4.772808837890625000e+01,1.274231553077697754e+00
-9.445515441894531250e+01,5.895338439941406250e+01,1.049414634704589844e+00
-8.403293609619140625e+01,5.608538818359375000e+01,6.000834703445434570e-01
-8.667914581298828125e+01,5.140494155883789062e+01,2.472038567066192627e-01
-8.368170928955078125e+01,5.585097122192382812e+01,-1.038474217057228088e-01
-8.973207092285156250e+01,5.321547698974609375e+01,-1.198662400245666504e+00
-8.588722229003906250e+01,5.093529129028320312e+01,-1.843490958213806152e+00
